depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues
ACH-000110	NCC-StC-K140	NCCSTCK140	NCCSTCK140_STOMACH	NA	NA	Female	RIKEN	CVCL_3055	NA	stomach	NA	Gastric Cancer	Adenocarcinoma	36	NA	NA	gastric	gastric_adenocarcinoma	NA	NA	NA	NA	NA	PT-5JFPe5	NA	Gastric carcinoma	C4911	NA
ACH-000119	Hs 863.T	HS863T	HS863T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0959	NA	fibroblast	NA	Non-Cancerous	Bone	5	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-iJz19R	NA	Ewing sarcoma	C4817	NA
ACH-000122	SUP-T11	SUPT11	SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_2210	NA	bone_marrow	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	74	NA	NA	blood	ALL	t_cell	NA	2D: suspension	NA	NA	PT-v3CPfr	NA	Adult T acute lymphoblastic leukemia	C9142	NA
ACH-000125	TO 175.T	TO175T	TO175T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_3806	NA	lymph_node	Metastasis	Non-Cancerous	Lymphoma	29	NA	NA	fibroblast	fibroblast_lymphocyte	NA	NA	2D: adherent	NA	NA	PT-G9ksxs	NA	Hodgkin lymphoma	C9357	NA
ACH-000130	NALM-19	NALM19	NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_1835	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	26	NA	NA	blood	ALL	b_cell	NA	2D: suspension	NA	NA	PT-LNhzm2	NA	B acute lymphoblastic leukemia	C8644	NA
ACH-000140	Pfeiffer	PFEIFFER	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	ATCC	CVCL_3326	NA	pleural_effusion	Metastasis	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Adult	NA	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	2D: suspension	NA	NA	PT-IBKRSU	NA	Diffuse large B-cell lymphoma germinal center B-cell type	C36080	NA
ACH-000154	HS888T	HS888T	HS888T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0979	NA	fibroblast	NA	Non-Cancerous	Bone	20	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-AJl2G5	NA	Osteosarcoma	C9145	NA
ACH-000158	OCI-LY3	OCILY3	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	Academic lab	CVCL_8800	NA	bone_marrow	Primary	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	52	NA	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	2D: suspension	NA	NA	PT-mgmL7l	NA	Diffuse large B-cell lymphoma activated B-cell type	C36081	A cell line, now termed GNE-587170 (CVCL_AT69), was mistakenly distributed by OCI to a number of groups under the designation OCI-Ly-3, the origin of that cell line is now known
ACH-000165	NA	HS751T	HS751T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0891	NA	fibroblast	NA	Non-Cancerous	Lymphoma	19	NA	NA	fibroblast	fibroblast_lymphocyte	NA	NA	NA	NA	NA	PT-EyHts5	NA	Hodgkin lymphoma	C9357	NA
ACH-000166	Kasumi-6	KASUMI6	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	ATCC	CVCL_0614	NA	haematopoietic_and_lymphoid_tissue	Primary	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	64	NA	NA	blood	AML	M2	NA	NA	NA	NA	PT-BnqVL0	NA	Adult acute myeloid leukemia	C9154	NA
ACH-000170	PrEC LH	PRECLH	PRECLH_PROSTATE	NA	NA	Male	Academic lab	CVCL_V626	NA	prostate	NA	Non-Cancerous	NA	NA	NA	NA	prostate	NA	NA	NA	NA	immortalized	NA	PT-fkfBUv	NA	NA	NA	NA
ACH-000172	TM-87	TM87	TM87_SOFT_TISSUE	TM87	NA	Male	Academic lab	CVCL_8001	NA	pleural_effusion	Metastasis	Rhabdoid	Malignant Rhabdoid Tumor	1	NA	NA	soft_tissue	malignant_rhabdoid_tumor	NA	NA	NA	NA	NA	PT-o2d0Va	NA	Extrarenal rhabdoid tumor	C6586	NA
ACH-000173	JHUEM-3	JHUEM3	JHUEM3_ENDOMETRIUM	NA	NA	Female	RIKEN	CVCL_4657	NA	endometrium	NA	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	60	NA	NA	uterus	endometrial_adenocarcinoma	NA	NA	NA	NA	NA	PT-FarRYD	NA	Endometrial adenocarcinoma	C7359	NA
ACH-000175	NA	TE159T	TE159T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_1743	NA	fibroblast	NA	Non-Cancerous	Soft tissue	6	NA	NA	fibroblast	fibroblast_soft_tissue	NA	NA	2D: adherent	NA	NA	PT-8hjp6w	NA	Rhabdomyosarcoma	C3359	NA
ACH-000179	NCI-H1618	NCIH1618	NCIH1618_LUNG	NA	NA	Female	ATCC	CVCL_1480	NA	bone_marrow	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	55	NA	NA	lung	SCLC	NA	NA	NA	NA	NA	PT-zC9YC8	NA	Lung small cell carcinoma	C4917	NA
ACH-000180	Hs 839.T	HS839T	HS839T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0941	NA	fibroblast	NA	Non-Cancerous	Skin	42	NA	NA	fibroblast	fibroblast_skin	NA	NA	2D: adherent	NA	NA	PT-aCAmcw	NA	Melanoma	C3224	NA
ACH-000185	NA	HS737T	HS737T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0878	NA	fibroblast	NA	Non-Cancerous	Bone	10	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: suspension	NA	NA	PT-TanjHu	NA	Malignancy in giant cell tumor of bone	C4304	NA
ACH-000194	Hs 934.T	HS934T	HS934T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_1031	NA	fibroblast	Primary	Non-Cancerous	Skin	58	NA	NA	fibroblast	fibroblast_skin	NA	NA	2D: adherent	NA	NA	PT-RKnqyJ	NA	Melanoma	C3224	NA
ACH-000205	PK-59	PK59	PK59_PANCREAS	NA	NA	Female	JCRB	CVCL_4897	NA	liver	Metastasis	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	66	NA	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	NA	NA	NA	PT-GiBvWu	NA	Pancreatic carcinoma	C3850	NA
ACH-000216	JH-EsoAd1	JHESOAD1	JHESOAD1_OESOPHAGUS	NA	NA	Male	Academic lab	CVCL_8098	NA	oesophagus	NA	Esophageal Cancer	Adenocarcinoma	66	NA	NA	esophagus	esophagus_adenocarcinoma	NA	NA	NA	NA	NA	PT-Y4syw7	NA	Barrett adenocarcinoma	C7027	NA
ACH-000220	Mino	MINO	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	ATCC	CVCL_1872	NA	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	68	NA	NA	lymphocyte	non_hodgkin_lymphoma	b_cell_mantle_cell	NA	NA	NA	NA	PT-WbLsVj	NA	Mantle cell lymphoma	C4337	NA
ACH-000224	NA	HS819T	HS819T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0928	NA	fibroblast	NA	Non-Cancerous	Bone	60	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-ethUtA	NA	Chondrosarcoma	C2946	NA
ACH-000229	NA	HS822T	HS822T_FIBROBLAST	Hs 822.T	NA	Female	ATCC	CVCL_0933	NA	fibroblast	Primary	Non-Cancerous	Bone	9	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-DGfHIv	NA	Ewing sarcoma	C4817	NA
ACH-000230	Hs 742.T	HS742T	HS742T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0888	NA	fibroblast	NA	Non-Cancerous	Breast	71	NA	NA	fibroblast	fibroblast_breast	NA	NA	2D: adherent	NA	NA	PT-ZWtwNq	NA	Breast carcinoma	C4872	NA
ACH-000239	HuG1-N	HUG1N	HUG1N_STOMACH	NA	NA	Male	RIKEN	CVCL_4846	NA	stomach	Metastasis	Gastric Cancer	Adenocarcinoma, tubular	55	NA	NA	gastric	gastric_adenocarcinoma	tubular	NA	NA	NA	NA	PT-dhqDHo	NA	Gastric tubular adenocarcinoma	C5473	NA
ACH-000241	JK-1	JK1	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_2079	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	58	NA	NA	blood	CML	blast_crisis	NA	NA	NA	NA	PT-0V5kh0	NA	Chronic myelogenous leukemia, BCR-ABL1 positive	C3174	NA
ACH-000275	NA	HS834T	HS834T_FIBROBLAST	NA	NA	Female	NA	CVCL_0938	NA	lymph_node	Metastasis	Non-Cancerous	Skin	27	NA	NA	fibroblast	fibroblast_skin	NA	NA	2D: adherent	NA	NA	PT-CaS06R	NA	Melanoma	C3224	NA
ACH-000284	NA	HS840T	HS840T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0942	NA	fibroblast	NA	Non-Cancerous	Upper aerodigestive	7	NA	NA	fibroblast	fibroblast_upper_aerodigestive	NA	NA	2D: adherent	NA	NA	PT-LnFH3Z	NA	Squamous cell papilloma	C3712	NA
ACH-000285	Toledo	TOLEDO	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	ATCC	CVCL_3611	NA	haematopoietic_and_lymphoid_tissue	Primary	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Adult	NA	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	2D: suspension	NA	NA	PT-gL1kFD	NA	Diffuse large B-cell lymphoma germinal center B-cell type	C36080	NA
ACH-000288	BT-549	BT549	BT549_BREAST	NA	905951	Female	ATCC	CVCL_1092	1835	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	72	SIDM00122	NA	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-hgWgpg	NA	Invasive breast carcinoma of no special type	C4194	NA
ACH-000297	NCI-H889	NCIH889	NCIH889_LUNG	NA	NA	Female	ATCC	CVCL_1598	NA	lymph_node	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	69	NA	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-0Ds3by	NA	Lung small cell carcinoma	C4917	NA
ACH-000300	NA	SLR25	SLR25_KIDNEY	NA	NA	NA	Academic lab	CVCL_V611	NA	kidney	Metastasis	Kidney Cancer	Renal Cell Carcinoma	NA	NA	NA	kidney	renal_cell_carcinoma	NA	NA	NA	NA	NA	PT-QvcrZr	NA	Clear cell renal cell carcinoma	C4033	NA
ACH-000313	KMRC-3	KMRC3	KMRC3_KIDNEY	NA	NA	Male	HSRRB	CVCL_2985	NA	kidney	Primary	Kidney Cancer	Renal Carcinoma, clear cell	Adult	NA	NA	kidney	renal_cell_carcinoma	clear_cell	NA	2D: adherent	NA	NA	PT-Hd1kAu	NA	Clear cell renal cell carcinoma	C4033	NA
ACH-000321	MOLM-6	MOLM6	MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_2122	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	44	NA	NA	blood	CML	blast_crisis	NA	2D: suspension	NA	NA	PT-vvBnLH	NA	Chronic myelogenous leukemia, BCR-ABL1 positive	C3174	NA
ACH-000325	SNU-620	SNU620	SNU620_STOMACH	NA	NA	Female	KCLB	CVCL_5079	NA	ascites	Metastasis	Gastric Cancer	Adenocarcinoma	59	NA	NA	gastric	gastric_adenocarcinoma	NA	NA	NA	NA	NA	PT-Du1wuZ	NA	Gastric adenocarcinoma	C4004	NA
ACH-000328	LN-215	LN215	LN215_CENTRAL_NERVOUS_SYSTEM	NA	NA	Female	Academic lab	CVCL_3954	NA	central_nervous_system	NA	Brain Cancer	Glioblastoma	60	NA	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-EuirKR	NA	Astrocytoma	C60781	NA
ACH-000333	JHOM-2B	JHOM2B	JHOM2B_OVARY	NA	NA	Female	RIKEN	CVCL_4645	NA	ovary	Primary	Ovarian Cancer	Adenocarcinoma, mucinous	56	NA	NA	ovary	ovary_adenocarcinoma	mucinous	NA	NA	NA	NA	PT-60XjJv	NA	Ovarian mucinous adenocarcinoma	C5243	NA
ACH-000340	Hs 870.T	HS870T	HS870T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0966	NA	fibroblast	NA	Non-Cancerous	Bone	22	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-O6FqYe	NA	Osteosarcoma	C9145	NA
ACH-000385	SK-RC-20	SKRC20	SKRC20_KIDNEY	NA	NA	Male	Academic lab	CVCL_V605	NA	kidney	NA	Kidney Cancer	Renal Cell Carcinoma	46	NA	NA	kidney	renal_cell_carcinoma	NA	NA	NA	NA	NA	PT-0eAoS2	NA	Renal cell carcinoma	C9385	NA
ACH-000388	NU-DHL-1	NUDHL1	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_1876	NA	lymph_node	Metastasis	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	73	NA	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	NA	NA	NA	PT-U7LNgP	NA	Diffuse large B-cell lymphoma	C8851	NA
ACH-000398	RI-1	RI1	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	CVCL_1885	NA	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	B-cell, Non-Hodgkins	57	NA	NA	lymphocyte	non_hodgkin_lymphoma	b_cell	NA	NA	NA	NA	PT-OW2fam	NA	Diffuse large B-cell lymphoma activated B-cell type	C36081	NA
ACH-000413	NA	HS739T	HS739T_FIBROBLAST	NA	NA	Female	NA	CVCL_0882	NA	fibroblast	NA	Non-Cancerous	Breast	52	NA	NA	fibroblast	fibroblast_breast	NA	NA	NA	NA	NA	PT-ipY35J	NA	Breast carcinoma	C4872	NA
ACH-000418	SW 1353	SW1353	SW1353_BONE	NA	NA	Female	ATCC	CVCL_0543	NA	bone	Primary	Bone Cancer	Chondrosarcoma	72	NA	NA	bone	chondrosarcoma	NA	NA	2D: adherent	NA	NA	PT-4X60vq	NA	Primary central chondrosarcoma	C7155	NA
ACH-000419	KMS-28BM	KMS28BM	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	HSRRB	CVCL_2994	NA	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	77	NA	NA	plasma_cell	multiple_myeloma	NA	NA	2D: suspension	NA	NA	PT-01q6LP	NA	Plasma cell myeloma	C3242	NA
ACH-000453	MOLP-2	MOLP2	MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_2123	NA	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	55	NA	NA	plasma_cell	multiple_myeloma	NA	NA	NA	NA	NA	PT-hPsKNs	NA	Plasma cell myeloma	C3242	NA
ACH-000455	LN-428	LN428	LN428_CENTRAL_NERVOUS_SYSTEM	NA	NA	Male	Academic lab	CVCL_3959	NA	central_nervous_system	NA	Brain Cancer	Glioblastoma	48	NA	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-XOGcZJ	NA	Glioblastoma	C3058	NA
ACH-000462	NALM-1	NALM1	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	CVCL_0091	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	3	NA	NA	blood	CML	blast_crisis	NA	NA	NA	NA	PT-ln5u7z	NA	Childhood chronic myelogenous leukemia, BCR-ABL1 positive	C7320	NA
ACH-000467	HCC-56	HCC56	HCC56_LARGE_INTESTINE	NA	1290907	NA	HSRRB	CVCL_2917	1036	large_intestine	NA	Colon/Colorectal Cancer	Adenocarcinoma	NA	SIDM00597	NA	colorectal	colorectal_adenocarcinoma	NA	NA	NA	NA	NA	PT-2RDjdA	NA	Colon adenocarcinoma	C4349	NA
ACH-000492	MUTZ-5	MUTZ5	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	DSMZ	CVCL_1873	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	26	NA	NA	blood	ALL	b_cell	NA	2D: suspension	NA	NA	PT-mlZ1w1	NA	B acute lymphoblastic leukemia	C8644	NA
ACH-000494	OELE	OELE	OELE_OVARY	OEL(E)	NA	Female	Academic lab	CVCL_IW56	NA	ovary	NA	Non-Cancerous	NA	NA	NA	NA	ovary	NA	NA	NA	NA	immortalized	NA	PT-dZGXnc	NA	NA	NA	NA
ACH-000513	SNU-1272	SNU1272	SNU1272_KIDNEY	NA	NA	Female	KCLB	CVCL_8788	NA	kidney	NA	Kidney Cancer	Renal Carcinoma, clear cell	63	NA	NA	kidney	renal_cell_carcinoma	clear_cell	NA	NA	NA	NA	PT-yzeH2y	NA	Clear cell renal cell carcinoma	C4033	NA
ACH-000523	NCI-H1184	NCIH1184	NCIH1184_LUNG	H1184	NA	Male	ATCC	CVCL_1458	NA	lymph_node	Metastasis	Lung Cancer	Small Cell Lung Cancer (SCLC)	42	NA	NA	lung	SCLC	NA	NA	2D: suspension	NA	NA	PT-RZo2RD	NA	Lung small cell carcinoma	C4917	NA
ACH-000526	Hs 821.T	HS821T	HS821T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0932	NA	fibroblast	Primary	Non-Cancerous	Bone	31	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-GaHenH	NA	Malignancy in giant cell tumor of bone	C4304	NA
ACH-000529	T1-73	T173	T173_FIBROBLAST	NA	NA	NA	ATCC	CVCL_3605	NA	fibroblast	NA	Non-Cancerous	Bone	NA	NA	NA	fibroblast	fibroblast_bone	NA	NA	2D: adherent	NA	NA	PT-dpzREw	NA	Osteosarcoma	C9145	NA
ACH-000531	NA	RS5	RS5_FIBROBLAST	NA	NA	Male	DSMZ	CVCL_2182	NA	fibroblast	NA	Non-Cancerous	Lung	78	NA	NA	fibroblast	fibroblast_lung	NA	NA	2D: adherent	NA	NA	PT-omRFB9	NA	Pleural sarcomatoid mesothelioma	C45663	Not directly described in the original publication (PubMed=15372243), but indirectly mentioned ('Three others cell lines progressed in tissue culture')
ACH-000533	NCI-H2004 RT	NCIH2004RT	NCIH2004RT_SOFT_TISSUE	NA	NA	Male	Academic lab	CVCL_WS70	NA	soft_tissue	NA	Rhabdoid	Malignant Rhabdoid Tumor	NA	NA	NA	soft_tissue	malignant_rhabdoid_tumor	NA	NA	NA	NA	NA	PT-x2jmX9	NA	Rhabdoid tumor of the kidney	C8715	NA
ACH-000553	Sq-1	SQ1	SQ1_LUNG	NA	NA	Male	RIKEN	CVCL_4900	NA	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	NA	NA	lung	NSCLC	NSCLC_squamous	NA	NA	NA	NA	PT-yEcMkf	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000564	KHM-1B	KHM1B	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	HSRRB	CVCL_2972	NA	pleural_effusion	Primary	Myeloma	Multiple Myeloma	53	NA	NA	plasma_cell	multiple_myeloma	NA	NA	2D: suspension	NA	NA	PT-QKo5S3	NA	Plasma cell myeloma	C3242	NA
ACH-000598	KMS-21BM	KMS21BM	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	HSRRB	CVCL_2991	NA	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	62	NA	This line is a KMS-24 derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.	plasma_cell	multiple_myeloma	NA	NA	NA	NA	NA	PT-smSaav	NA	NA	NA	Misclassified. Originally thought to be a myeloma cell line and to be a sister line to KMS-21-PE (CVCL_A445) but this does not seem to be the case (PubMed=12592342; PubMed=20143388).
ACH-000602	M-07e	M07E	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	CVCL_2106	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)	0	NA	NA	blood	AML	M7	NA	2D: suspension	NA	NA	PT-T0am5q	NA	Childhood acute megakaryoblastic leukemia	C7972	NA
